index,material_no,name,category,glass_t1_mm,glass_cavity_mm,glass_t2_mm,spectrum_ok,R_125_Hz,R_250_Hz,R_500_Hz,R_1000_Hz,R_2000_Hz,R_4000_Hz
2421,2542,AGC Phonibel ST 3545,,,,,True,26.2,33.2,42.7,46.7,50.9,57.9
2422,2543,AGC Phonibel ST 3445,,,,,True,29.7,33.2,41.5,46.6,52.5,60.4
2423,2544,AGC Phonibel ST 3846,,,,,True,29.1,34.9,42.4,47.0,52.9,58.4
2424,2545,AGC Phonibel ST 3347,,,,,True,28.2,35.0,43.9,53.6,55.2,61.6
2425,2546,AGC Phonibel ST 3447,,,,,True,27.9,35.0,44.1,53.1,55.7,63.1
2426,2547,AGC Phonibel ST 3749,,,,,True,28.1,37.4,46.7,54.2,56.0,63.1
2427,2548,AGC Phonibel ST 3849,,,,,True,27.6,38.0,45.8,54.1,56.0,63.1
2428,2549,AGC Phonibel ST 3949,,,,,True,27.8,37.6,46.5,55.7,56.1,60.6
2429,2550,AGC Phonibel ST 4150/1,,,,,True,27.8,39.6,46.8,54.8,55.9,63.1
2430,2551,AGC Phonibel ST 4250,,,,,True,28.9,39.6,46.9,54.9,56.5,63.6
2431,2552,AGC Phonibel ST 4150/2,,,,,True,30.5,40.0,45.4,52.5,55.2,63.8
2432,2553,AGC Phonibel ST 4551,,,,,True,35.6,42.8,46.7,52.0,52.0,65.1
2433,2554,AGC Stratophone 33.1,,,,,True,22.3,25.9,31.4,35.5,39.0,38.8
2434,2555,AGC Stratophone 33.2,,,,,True,22.1,26.5,31.6,36.1,39.6,38.6
2435,2556,AGC Stratophone 44.1,,,,,True,27.5,29.6,34.2,38.2,39.0,43.2
2436,2557,AGC Stratophone 44.2,,,,,True,26.6,29.9,34.1,38.1,39.1,42.0
2437,2558,AGC Stratophone 44.4,,,,,True,24.1,28.7,34.3,38.5,40.0,41.2
2438,2559,AGC Stratophone 55.1,,,,,True,26.7,30.3,34.9,38.4,39.7,46.7
2439,2560,AGC Stratophone 55.2,,,,,True,26.7,31.1,35.5,38.8,39.2,45.0
2440,2561,AGC Stratophone 66.1,,,,,True,28.4,32.7,37.1,39.3,40.9,49.6
2441,2562,AGC Stratophone 66.2,,,,,True,29.1,32.7,37.7,40.3,40.2,47.9
2442,2563,AGC Stratophone 88.2,,,,,True,32.3,35.1,36.8,38.6,45.4,54.7
2443,2565,Duco MiniMax 10 ZR [1],,,,,True,25.0,23.8,31.9,36.0,37.6,40.2
2444,2566,Duco MiniMax 15 ZR [1],,,,,True,24.4,23.5,31.2,33.9,35.0,38.2
2445,2567,Duco MiniMax 20 ZR [1],,,,,True,23.8,22.9,29.8,34.9,35.7,37.0
2446,2569,Alusta BingoForte 100,,,,,True,35.1,33.0,29.1,30.8,37.6,0.0
2447,2570,Alusta BingoForte 150,,,,,True,33.8,31.8,28.5,29.3,33.8,0.0
2448,2571,Alusta BingoForte 200,,,,,True,33.1,30.7,27.7,27.0,30.7,0.0
2449,2572,SGG Climalit Silence 30/40 AST,,,,,True,23.1,27.4,36.2,45.7,44.6,0.0
2450,2573,SGG Climalit Silence 30/40 AST,,,,,True,23.1,27.0,36.6,46.7,45.8,0.0
2451,2574,SGG Climalit Silence 33/42 AST [1],,,,,True,24.4,29.5,39.4,47.5,47.3,0.0
2452,2575,SGG Climalit Silence 33/43 AST opbouw 44.2-15-44.2Si,,,,,True,25.5,31.3,40.0,50.7,53.5,0.0
2453,2576,SGG Climalit Silence 39/45 AST,,,,,True,28.8,35.8,42.1,47.2,48.7,0.0
2454,2577,Phonotech DK-45 constructie 4110 [1],,,,,True,20.0,37.6,53.6,58.8,56.7,0.0
2455,2578,Phonotech DK-45 constructie 4120 [1],,,,,True,25.5,37.6,50.1,55.8,56.7,0.0
2456,2579,Phonotech DK-45 constructie 4125 [1],,,,,True,29.0,40.6,52.6,57.8,41.7,0.0
2457,2580,Phonotech DK-65 constructie 4210 [1],,,,,True,21.2,41.5,54.7,58.3,56.6,0.0
2458,2581,Phonotech DK-65 constructie 4220 [2],,,,,True,26.7,41.5,51.2,55.3,56.6,0.0
